subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,Mage,Fire,DPS,2026-08-23,106,106,77,178580,189122,269559,0.27,78.3,297.8,18,66.7,11.1,22.2,2780.0
timed,Mage,Fire,DPS,2026-08-24,6,6,6,181662,199299,233093,0.5,66.7,304.5,6,50.0,0.0,50.0,2875.0
timed,Mage,Frost,DPS,2026-08-18,95,95,69,147850,148092,179769,1.0,46.3,292.8,0,,,,2776.0
timed,Mage,Frost,DPS,2026-08-19,378,377,292,143476,144970,190295,0.65,57.7,293.6,1,100.0,0.0,0.0,2810.0
timed,Mage,Frost,DPS,2026-08-20,116,116,98,139296,135612,196408,0.38,72.4,294.3,1,100.0,0.0,0.0,2701.0
timed,Mage,Frost,DPS,2026-08-21,166,162,127,147888,143622,206788,0.36,71.7,298.1,1,100.0,0.0,0.0,2824.0
timed,Mage,Frost,DPS,2026-08-22,450,448,370,127756,120485,183862,0.29,78.0,294.8,4,75.0,25.0,0.0,2764.0
timed,Mage,Frost,DPS,2026-08-23,267,265,232,127955,119836,193298,0.35,71.5,294.9,56,69.6,23.2,7.1,2769.0
timed,Mage,Frost,DPS,2026-08-24,15,15,14,136212,124173,188258,0.33,66.7,296.7,13,84.6,15.4,0.0,
timed,Monk,Brewmaster,Tank,2026-08-18,242,242,116,88452,88278,108331,0.57,60.3,293.1,0,,,,2971.0
timed,Monk,Brewmaster,Tank,2026-08-19,1017,1017,512,88777,89248,115550,0.26,79.4,294.5,0,,,,3035.0
timed,Monk,Brewmaster,Tank,2026-08-20,497,497,272,96162,98565,123039,0.16,85.9,298.2,0,,,,3057.0
timed,Monk,Brewmaster,Tank,2026-08-21,758,758,409,100318,100598,128348,0.14,87.5,301.1,0,,,,3108.0
timed,Monk,Brewmaster,Tank,2026-08-22,1184,1184,647,94112,95884,125506,0.14,87.6,300.5,3,100.0,0.0,0.0,3081.0
timed,Monk,Brewmaster,Tank,2026-08-23,987,987,605,95031,96378,128993,0.11,90.3,301.5,179,46.9,27.4,25.7,3049.0
timed,Monk,Brewmaster,Tank,2026-08-24,47,47,39,94468,93749,135717,0.13,89.4,300.7,42,66.7,14.3,19.0,3113.0
timed,Monk,Mistweaver,Healer,2026-08-18,351,351,175,39084,39237,50042,0.81,51.6,292.6,0,,,,2884.0
timed,Monk,Mistweaver,Healer,2026-08-19,1818,1818,956,40319,40801,51932,0.44,67.8,294.0,0,,,,2856.0
timed,Monk,Mistweaver,Healer,2026-08-20,809,809,519,42259,43353,55752,0.32,74.8,297.1,0,,,,2932.0
timed,Monk,Mistweaver,Healer,2026-08-21,1436,1436,809,44180,44550,56964,0.35,72.3,300.1,1,100.0,0.0,0.0,3010.0
timed,Monk,Mistweaver,Healer,2026-08-22,1936,1936,1213,42424,43378,57058,0.29,76.1,299.5,10,60.0,40.0,0.0,3002.0
timed,Monk,Mistweaver,Healer,2026-08-23,1591,1591,1036,42501,43276,58015,0.29,76.1,300.1,348,59.2,26.7,14.1,2953.0
timed,Monk,Mistweaver,Healer,2026-08-24,79,79,63,43006,43270,60548,0.3,70.9,300.5,67,64.2,16.4,19.4,2947.0
timed,Monk,Windwalker,DPS,2026-08-18,399,393,196,151179,150648,186369,1.0,42.4,293.1,0,,,,2909.0
timed,Monk,Windwalker,DPS,2026-08-19,1557,1553,850,161412,160626,210318,0.62,57.2,295.5,1,100.0,0.0,0.0,2861.0
timed,Monk,Windwalker,DPS,2026-08-20,695,694,462,176441,179631,235062,0.41,69.6,299.6,1,100.0,0.0,0.0,2930.0
timed,Monk,Windwalker,DPS,2026-08-21,1151,1150,666,189893,193037,244672,0.46,65.4,303.3,10,50.0,50.0,0.0,2977.0
timed,Monk,Windwalker,DPS,2026-08-22,1810,1797,1032,184289,189732,252783,0.44,65.9,302.7,12,66.7,25.0,8.3,3056.0
timed,Monk,Windwalker,DPS,2026-08-23,1374,1364,870,188968,193100,256621,0.44,68.9,304.0,334,33.8,24.9,41.3,2919.0
timed,Monk,Windwalker,DPS,2026-08-24,75,75,62,175971,182145,261623,0.17,86.7,301.7,64,39.1,25.0,35.9,3004.0
timed,Paladin,Holy,Healer,2026-08-18,961,961,444,18164,16898,29222,0.66,56.4,292.0,0,,,,2835.0
timed,Paladin,Holy,Healer,2026-08-19,4391,4391,2391,19770,17963,31931,0.47,65.9,293.5,5,100.0,0.0,0.0,2930.0
timed,Paladin,Holy,Healer,2026-08-20,2484,2484,1494,23509,20674,40140,0.38,70.1,297.1,5,80.0,20.0,0.0,2987.0
timed,Paladin,Holy,Healer,2026-08-21,4913,4913,2505,26120,22806,45513,0.42,68.1,301.5,11,81.8,18.2,0.0,3071.0
timed,Paladin,Holy,Healer,2026-08-22,7601,7599,4084,27032,22872,49842,0.41,68.9,301.6,23,56.5,17.4,26.1,3054.0
timed,Paladin,Holy,Healer,2026-08-23,6453,6449,3590,28402,24184,52493,0.42,67.9,303.4,1041,39.8,41.6,18.6,3057.0
timed,Paladin,Holy,Healer,2026-08-24,254,254,221,23314,19464,45810,0.36,72.4,302.6,213,31.9,45.1,23.0,3110.0
timed,Paladin,Protection,Tank,2026-08-18,791,791,342,93509,93060,116418,0.31,75.1,292.7,0,,,,2901.0
timed,Paladin,Protection,Tank,2026-08-19,3371,3371,1833,91628,91682,118948,0.17,85.3,294.0,2,100.0,0.0,0.0,2928.0
timed,Paladin,Protection,Tank,2026-08-20,1619,1619,1009,97133,98472,126686,0.13,88.8,297.5,5,100.0,0.0,0.0,3039.0
timed,Paladin,Protection,Tank,2026-08-21,3087,3087,1649,102119,102559,130952,0.12,89.6,301.2,8,75.0,25.0,0.0,3003.0
timed,Paladin,Protection,Tank,2026-08-22,4591,4591,2700,96718,97172,129485,0.09,91.7,300.2,26,69.2,26.9,3.8,3008.0
timed,Paladin,Protection,Tank,2026-08-23,3463,3463,2191,97516,98409,131451,0.08,92.1,301.5,640,53.8,29.1,17.2,3008.0
timed,Paladin,Protection,Tank,2026-08-24,158,158,131,97014,99221,127236,0.09,90.5,302.1,125,45.6,43.2,11.2,3057.0
timed,Paladin,Retribution,DPS,2026-08-18,606,584,298,168236,170592,206010,0.78,51.2,293.5,1,100.0,0.0,0.0,2880.0
timed,Paladin,Retribution,DPS,2026-08-19,2891,2843,1703,166730,167489,215651,0.5,64.0,294.9,1,100.0,0.0,0.0,2944.0
timed,Paladin,Retribution,DPS,2026-08-20,1455,1424,918,178152,181436,235021,0.4,69.8,298.3,4,100.0,0.0,0.0,3029.0
timed,Paladin,Retribution,DPS,2026-08-21,2476,2436,1495,190650,194682,243763,0.47,64.9,301.8,9,77.8,22.2,0.0,3059.0
timed,Paladin,Retribution,DPS,2026-08-22,4375,4283,2707,184109,189936,247597,0.42,68.7,301.4,11,54.5,27.3,18.2,3041.0
timed,Paladin,Retribution,DPS,2026-08-23,3686,3589,2370,188742,195087,255715,0.41,68.8,302.6,719,39.2,30.2,30.6,3020.0
timed,Paladin,Retribution,DPS,2026-08-24,145,145,132,183314,196355,248284,0.32,73.1,303.1,135,40.7,28.9,30.4,3062.0
timed,Priest,Discipline,Healer,2026-08-18,444,444,197,17373,16256,24608,0.92,48.0,293.1,2,100.0,0.0,0.0,2849.0
timed,Priest,Discipline,Healer,2026-08-19,1553,1553,823,18536,16969,28758,0.53,62.7,294.8,3,33.3,66.7,0.0,2809.0
timed,Priest,Discipline,Healer,2026-08-20,566,566,384,18637,16922,29465,0.36,71.9,297.1,1,100.0,0.0,0.0,2877.0
timed,Priest,Discipline,Healer,2026-08-21,775,775,503,20952,18782,36090,0.36,71.9,300.6,6,100.0,0.0,0.0,2933.0
timed,Priest,Discipline,Healer,2026-08-22,1108,1108,763,19015,17160,29257,0.34,74.3,298.3,3,66.7,0.0,33.3,3001.0
timed,Priest,Discipline,Healer,2026-08-23,774,774,557,19401,17118,32767,0.26,78.8,299.3,181,54.7,29.3,16.0,2993.0
timed,Priest,Discipline,Healer,2026-08-24,28,28,27,17097,15377,25218,0.18,82.1,295.5,27,74.1,22.2,3.7,
timed,Priest,Holy,Healer,2026-08-18,299,299,129,22478,21562,34192,0.27,79.9,293.2,0,,,,2903.0
timed,Priest,Holy,Healer,2026-08-19,1079,1079,599,23976,23540,36888,0.16,86.4,294.2,0,,,,2854.0
timed,Priest,Holy,Healer,2026-08-20,598,598,390,24689,23916,39066,0.14,88.8,297.7,1,100.0,0.0,0.0,2996.0
timed,Priest,Holy,Healer,2026-08-21,1263,1263,741,24716,24280,39108,0.13,89.5,300.9,3,66.7,0.0,33.3,2913.0
timed,Priest,Holy,Healer,2026-08-22,2443,2443,1416,24020,23222,38484,0.11,91.0,300.6,8,87.5,12.5,0.0,2966.0
timed,Priest,Holy,Healer,2026-08-23,1985,1985,1316,23209,22392,38083,0.13,89.0,301.2,359,53.5,30.1,16.4,2885.0
timed,Priest,Holy,Healer,2026-08-24,90,90,78,21626,20238,34793,0.13,87.8,299.6,75,56.0,26.7,17.3,2549.0
timed,Priest,Shadow,DPS,2026-08-18,449,446,199,163127,164691,196710,0.89,45.9,293.1,1,100.0,0.0,0.0,2791.0
timed,Priest,Shadow,DPS,2026-08-19,1885,1855,968,168402,170572,218359,0.56,62.0,294.8,2,100.0,0.0,0.0,2848.0
timed,Priest,Shadow,DPS,2026-08-20,722,715,475,179448,184756,231502,0.4,70.4,298.4,1,100.0,0.0,0.0,3012.0
timed,Priest,Shadow,DPS,2026-08-21,1283,1277,729,189409,192493,240615,0.4,69.8,301.6,5,100.0,0.0,0.0,2982.0
timed,Priest,Shadow,DPS,2026-08-22,1903,1893,1147,183064,192240,243833,0.36,72.9,301.3,16,31.2,43.8,25.0,2945.0
timed,Priest,Shadow,DPS,2026-08-23,1437,1426,933,182871,191748,244260,0.35,73.4,302.1,292,38.0,19.2,42.8,3013.0
timed,Priest,Shadow,DPS,2026-08-24,84,84,72,180805,188366,241784,0.3,76.2,302.9,80,41.2,18.8,40.0,2948.0
timed,Rogue,Assassination,DPS,2026-08-18,184,183,94,182434,183560,223199,0.78,51.6,292.6,0,,,,2980.0
timed,Rogue,Assassination,DPS,2026-08-19,1062,1060,535,193045,193811,250065,0.54,64.0,295.1,1,100.0,0.0,0.0,3036.0
timed,Rogue,Assassination,DPS,2026-08-20,665,662,364,205632,209962,262581,0.48,67.2,299.4,0,,,,3083.0
timed,Rogue,Assassination,DPS,2026-08-21,1299,1292,638,214137,217224,270918,0.55,61.5,301.7,3,66.7,33.3,0.0,3169.0
timed,Rogue,Assassination,DPS,2026-08-22,2034,2027,1064,209583,217205,274303,0.52,64.6,301.8,16,43.8,18.8,37.5,3172.0
timed,Rogue,Assassination,DPS,2026-08-23,1629,1627,964,211388,219332,276274,0.54,65.0,302.3,270,34.4,24.1,41.5,3151.0
timed,Rogue,Assassination,DPS,2026-08-24,77,77,63,211843,219033,276618,0.36,70.1,302.9,67,41.8,20.9,37.3,2865.0
timed,Rogue,Outlaw,DPS,2026-08-18,205,204,98,174377,176411,219427,0.9,53.2,292.5,0,,,,3014.0
timed,Rogue,Outlaw,DPS,2026-08-19,918,914,457,186112,186291,241952,0.57,61.5,294.0,0,,,,3115.0
timed,Rogue,Outlaw,DPS,2026-08-20,490,490,275,202941,207094,254854,0.47,66.7,297.7,0,,,,3203.0
timed,Rogue,Outlaw,DPS,2026-08-21,764,764,384,206194,209290,263189,0.48,66.9,300.6,0,,,,3250.0
timed,Rogue,Outlaw,DPS,2026-08-22,1138,1133,590,197879,204880,268466,0.44,68.3,300.3,1,0.0,0.0,100.0,3212.0
timed,Rogue,Outlaw,DPS,2026-08-23,885,874,497,204565,211951,274793,0.46,68.5,301.8,166,47.0,15.7,37.3,3267.0
timed,Rogue,Outlaw,DPS,2026-08-24,40,40,32,203174,222078,291269,0.25,75.0,301.4,32,46.9,25.0,28.1,3386.0
timed,Rogue,Subtlety,DPS,2026-08-18,446,441,186,175055,174142,212382,0.68,62.1,293.7,0,,,,2896.0
timed,Rogue,Subtlety,DPS,2026-08-19,1927,1900,953,182405,184280,229389,0.46,68.3,295.5,1,100.0,0.0,0.0,2920.0
timed,Rogue,Subtlety,DPS,2026-08-20,992,978,551,200881,204990,252898,0.32,75.9,299.7,2,100.0,0.0,0.0,2975.0
timed,Rogue,Subtlety,DPS,2026-08-21,1594,1576,835,207408,210026,257872,0.38,72.1,302.8,2,100.0,0.0,0.0,2985.0
timed,Rogue,Subtlety,DPS,2026-08-22,2239,2203,1193,207322,212593,266792,0.36,73.6,302.7,8,37.5,12.5,50.0,3066.0
timed,Rogue,Subtlety,DPS,2026-08-23,1840,1818,1045,209388,215291,275173,0.36,73.1,303.8,378,31.0,16.1,52.9,2944.0
timed,Rogue,Subtlety,DPS,2026-08-24,91,91,82,199601,210064,262803,0.34,72.5,303.0,83,42.2,12.0,45.8,2901.0
timed,Shaman,Elemental,DPS,2026-08-18,733,722,359,168067,167552,204790,0.81,51.6,293.0,0,,,,2907.0
timed,Shaman,Elemental,DPS,2026-08-19,3737,3688,1940,180622,182239,230463,0.59,59.4,294.3,3,100.0,0.0,0.0,2916.0
timed,Shaman,Elemental,DPS,2026-08-20,2114,2091,1247,192999,196924,250153,0.44,68.7,298.2,2,100.0,0.0,0.0,3000.0
timed,Shaman,Elemental,DPS,2026-08-21,4099,4053,2057,207371,210533,263090,0.5,64.6,302.3,15,66.7,33.3,0.0,3014.0
timed,Shaman,Elemental,DPS,2026-08-22,6509,6406,3349,204138,210910,268646,0.49,65.5,302.5,16,68.8,18.8,12.5,3010.0
timed,Shaman,Elemental,DPS,2026-08-23,5726,5606,3125,210744,217863,273810,0.48,66.2,304.2,882,36.6,27.2,36.2,3026.0
timed,Shaman,Elemental,DPS,2026-08-24,211,210,179,200328,208704,274495,0.41,69.2,302.6,181,32.6,27.1,40.3,2986.0
timed,Shaman,Enhancement,DPS,2026-08-18,241,241,116,168588,168257,206433,1.1,41.1,293.2,0,,,,2894.0
timed,Shaman,Enhancement,DPS,2026-08-19,1223,1217,641,175670,178280,222450,0.72,54.0,295.2,1,0.0,100.0,0.0,2895.0
timed,Shaman,Enhancement,DPS,2026-08-20,611,610,386,188366,190412,243460,0.51,62.7,299.0,3,100.0,0.0,0.0,2991.0
timed,Shaman,Enhancement,DPS,2026-08-21,922,917,515,199410,202403,249657,0.56,61.2,301.9,0,,,,3000.0
timed,Shaman,Enhancement,DPS,2026-08-22,1371,1360,800,189590,197465,253550,0.47,65.5,300.9,12,75.0,25.0,0.0,3025.0
timed,Shaman,Enhancement,DPS,2026-08-23,1106,1105,710,189542,194378,256438,0.47,65.5,301.6,281,28.5,31.7,39.9,2996.0
timed,Shaman,Enhancement,DPS,2026-08-24,58,58,55,181829,195662,250815,0.36,74.1,299.6,53,45.3,26.4,28.3,3034.0
timed,Shaman,Restoration,Healer,2026-08-18,1168,1168,539,23101,22610,32020,0.64,58.5,292.7,0,,,,2879.0
timed,Shaman,Restoration,Healer,2026-08-19,5413,5413,2861,24223,23952,33275,0.41,69.7,294.0,2,100.0,0.0,0.0,2961.0
timed,Shaman,Restoration,Healer,2026-08-20,2806,2806,1681,26960,26814,38295,0.3,75.6,298.3,2,100.0,0.0,0.0,3067.0
timed,Shaman,Restoration,Healer,2026-08-21,4934,4934,2690,28253,27946,39523,0.33,73.9,300.7,10,80.0,20.0,0.0,3111.0
timed,Shaman,Restoration,Healer,2026-08-22,7111,7111,3976,27637,27612,39508,0.32,74.7,300.4,32,28.1,37.5,34.4,3100.0
timed,Shaman,Restoration,Healer,2026-08-23,5512,5512,3461,28259,28209,40897,0.31,76.1,301.5,1042,43.0,35.4,21.6,3088.0
timed,Shaman,Restoration,Healer,2026-08-24,267,267,217,28554,28271,41066,0.25,78.7,302.0,235,41.7,40.0,18.3,3057.0
timed,Warlock,Affliction,DPS,2026-08-18,94,94,69,146778,147323,186418,0.78,55.3,292.7,0,,,,2826.0
timed,Warlock,Affliction,DPS,2026-08-19,271,271,226,148265,145998,194809,0.45,67.2,293.8,0,,,,2809.0
timed,Warlock,Affliction,DPS,2026-08-20,97,97,72,168845,169033,226511,0.3,75.3,298.2,0,,,,2846.0
timed,Warlock,Affliction,DPS,2026-08-21,153,153,130,175959,173842,242786,0.31,77.8,300.1,0,,,,2904.0
timed,Warlock,Affliction,DPS,2026-08-22,339,338,244,172307,162863,258671,0.29,77.0,299.7,0,,,,2751.0
timed,Warlock,Affliction,DPS,2026-08-23,234,234,185,164709,158820,242791,0.21,82.9,299.6,63,31.7,28.6,39.7,2984.0
timed,Warlock,Affliction,DPS,2026-08-24,15,15,15,162506,157758,246634,0.2,86.7,299.2,15,53.3,26.7,20.0,
timed,Warlock,Demonology,DPS,2026-08-18,456,454,232,175726,177470,214558,0.96,45.6,293.8,0,,,,2771.0
timed,Warlock,Demonology,DPS,2026-08-19,1719,1704,992,178975,182265,227708,0.62,57.8,295.0,1,100.0,0.0,0.0,2810.0
timed,Warlock,Demonology,DPS,2026-08-20,706,701,487,192091,198776,250859,0.36,72.2,298.6,2,100.0,0.0,0.0,2917.0
timed,Warlock,Demonology,DPS,2026-08-21,1473,1459,875,206712,212331,260736,0.42,69.2,302.1,1,100.0,0.0,0.0,2952.0
timed,Warlock,Demonology,DPS,2026-08-22,2514,2480,1552,199445,206482,268155,0.37,72.0,301.8,11,18.2,72.7,9.1,2877.0
timed,Warlock,Demonology,DPS,2026-08-23,1971,1947,1353,199426,207246,266422,0.32,75.0,302.5,436,44.7,19.5,35.8,2880.0
timed,Warlock,Demonology,DPS,2026-08-24,87,86,80,205776,213878,279942,0.26,81.6,302.9,80,36.2,18.8,45.0,2874.0
timed,Warlock,Destruction,DPS,2026-08-18,224,223,131,160214,160114,192098,1.01,39.3,293.5,0,,,,2883.0
timed,Warlock,Destruction,DPS,2026-08-19,869,866,563,159773,162190,209110,0.56,60.1,294.7,0,,,,2812.0
timed,Warlock,Destruction,DPS,2026-08-20,320,318,243,165651,167115,227075,0.35,72.2,298.3,2,100.0,0.0,0.0,2817.0
timed,Warlock,Destruction,DPS,2026-08-21,530,527,374,186672,193438,242617,0.38,70.8,301.5,0,,,,3002.0
timed,Warlock,Destruction,DPS,2026-08-22,846,839,586,171158,175486,245314,0.38,70.9,299.9,7,28.6,57.1,14.3,2950.0
timed,Warlock,Destruction,DPS,2026-08-23,580,574,442,168344,175174,246446,0.36,72.8,299.9,126,45.2,16.7,38.1,2873.0
timed,Warlock,Destruction,DPS,2026-08-24,35,35,31,165370,180877,236679,0.4,74.3,302.2,29,27.6,37.9,34.5,
timed,Warrior,Arms,DPS,2026-08-18,1443,1381,586,175495,175098,217664,1.17,36.3,293.2,2,100.0,0.0,0.0,2918.0
timed,Warrior,Arms,DPS,2026-08-19,6343,6140,3116,177753,179191,225767,0.79,50.1,295.2,2,100.0,0.0,0.0,2935.0
timed,Warrior,Arms,DPS,2026-08-20,3765,3645,2062,191260,194670,242889,0.61,57.5,299.8,8,87.5,12.5,0.0,3038.0
timed,Warrior,Arms,DPS,2026-08-21,6730,6587,3351,200599,202236,250591,0.66,55.4,303.1,13,76.9,15.4,7.7,3036.0
timed,Warrior,Arms,DPS,2026-08-22,9922,9701,4922,198770,203523,254788,0.65,56.3,303.6,29,41.4,31.0,27.6,3064.0
timed,Warrior,Arms,DPS,2026-08-23,7878,7712,4320,202252,207249,259979,0.65,56.1,304.8,1398,37.6,26.3,36.1,3047.0
timed,Warrior,Arms,DPS,2026-08-24,311,301,259,203230,206507,255700,0.66,52.7,305.4,274,32.8,28.1,39.1,3012.0
timed,Warrior,Fury,DPS,2026-08-18,112,112,67,178389,181024,213642,0.77,47.3,294.0,0,,,,2852.0
timed,Warrior,Fury,DPS,2026-08-19,554,554,346,172823,175162,225106,0.55,59.0,295.2,2,100.0,0.0,0.0,2983.0
timed,Warrior,Fury,DPS,2026-08-20,274,272,182,191109,195060,253221,0.44,65.3,298.7,1,100.0,0.0,0.0,3254.0
timed,Warrior,Fury,DPS,2026-08-21,470,469,286,199269,204633,254255,0.47,63.0,301.9,1,100.0,0.0,0.0,3159.0
timed,Warrior,Fury,DPS,2026-08-22,771,767,536,181698,187362,254913,0.44,68.2,300.4,5,80.0,0.0,20.0,3137.0
timed,Warrior,Fury,DPS,2026-08-23,589,587,405,190690,197986,261046,0.4,69.9,302.4,142,34.5,36.6,28.9,3233.0
timed,Warrior,Fury,DPS,2026-08-24,33,33,29,218174,214209,293587,0.42,72.7,304.2,32,34.4,37.5,28.1,3424.0
timed,Warrior,Protection,Tank,2026-08-18,423,423,167,108722,108830,135377,0.42,68.6,292.6,0,,,,2845.0
timed,Warrior,Protection,Tank,2026-08-19,1639,1639,816,111634,111775,145985,0.23,82.0,294.1,2,100.0,0.0,0.0,2874.0
timed,Warrior,Protection,Tank,2026-08-20,626,626,407,114725,114782,150926,0.11,90.7,296.9,0,,,,2952.0
timed,Warrior,Protection,Tank,2026-08-21,1000,1000,613,117259,118204,154405,0.12,90.2,299.7,3,100.0,0.0,0.0,2977.0
timed,Warrior,Protection,Tank,2026-08-22,1801,1801,1079,109788,110147,150942,0.11,90.3,298.8,6,100.0,0.0,0.0,2984.0
timed,Warrior,Protection,Tank,2026-08-23,1399,1399,963,108683,110050,148080,0.1,91.3,299.2,250,64.0,16.0,20.0,2926.0
timed,Warrior,Protection,Tank,2026-08-24,68,68,61,104855,104720,143732,0.09,92.6,297.6,59,62.7,18.6,18.6,2914.0
