subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Mage,Arcane,DPS,2026-08-18,1788,1698,772,165519,164816,203019,1.37,37.1,293.0,0,,,,2908.0
all,Mage,Arcane,DPS,2026-08-19,7207,6947,3563,173252,174126,222041,0.74,56.0,295.1,8,75.0,25.0,0.0,2925.0
all,Mage,Arcane,DPS,2026-08-20,3979,3830,2280,193161,196646,249294,0.47,66.4,299.8,2,100.0,0.0,0.0,3028.0
all,Mage,Arcane,DPS,2026-08-21,8294,7991,3949,209509,212849,259542,0.48,64.8,303.8,16,62.5,31.2,6.2,3054.0
all,Mage,Arcane,DPS,2026-08-22,13160,12543,6311,206393,212202,265061,0.49,65.0,304.0,45,46.7,11.1,42.2,3059.0
all,Mage,Arcane,DPS,2026-08-23,10848,10347,5786,212187,218856,269737,0.46,66.4,305.3,1798,24.7,33.3,41.9,3040.0
all,Mage,Arcane,DPS,2026-08-24,436,416,372,209113,217298,265700,0.4,70.2,305.2,397,25.4,32.5,42.1,2990.0
all,Mage,Fire,DPS,2026-08-18,43,43,22,169086,173062,204260,0.93,58.1,292.5,0,,,,2813.0
all,Mage,Fire,DPS,2026-08-19,211,211,108,176627,181155,230304,0.54,69.7,294.4,0,,,,2864.0
all,Mage,Fire,DPS,2026-08-20,73,73,43,190444,191154,253695,0.23,84.9,296.9,0,,,,2913.0
all,Mage,Fire,DPS,2026-08-21,88,88,63,185571,195628,251915,0.15,87.5,297.6,0,,,,2873.0
all,Mage,Fire,DPS,2026-08-22,182,182,137,176319,183590,247067,0.26,81.3,297.8,1,100.0,0.0,0.0,2842.0
all,Mage,Fire,DPS,2026-08-23,106,106,77,178580,189122,269559,0.27,78.3,297.8,18,66.7,11.1,22.2,2780.0
all,Mage,Fire,DPS,2026-08-24,6,6,6,181662,199299,233093,0.5,66.7,304.5,6,50.0,0.0,50.0,2875.0
all,Mage,Frost,DPS,2026-08-18,109,109,77,147321,148984,178448,1.28,41.3,292.8,0,,,,2805.0
all,Mage,Frost,DPS,2026-08-19,401,400,307,143100,144295,189856,0.82,54.9,293.5,1,100.0,0.0,0.0,2802.0
all,Mage,Frost,DPS,2026-08-20,118,118,98,139472,135612,196281,0.4,71.2,294.2,1,100.0,0.0,0.0,2701.0
all,Mage,Frost,DPS,2026-08-21,167,163,127,148093,143640,206630,0.37,71.3,298.1,1,100.0,0.0,0.0,2824.0
all,Mage,Frost,DPS,2026-08-22,454,452,372,128135,120764,184115,0.31,77.3,294.9,4,75.0,25.0,0.0,2764.0
all,Mage,Frost,DPS,2026-08-23,267,265,232,127955,119836,193298,0.35,71.5,294.9,56,69.6,23.2,7.1,2769.0
all,Mage,Frost,DPS,2026-08-24,15,15,14,136212,124173,188258,0.33,66.7,296.7,13,84.6,15.4,0.0,
all,Monk,Brewmaster,Tank,2026-08-18,283,283,135,86233,86024,105732,0.9,52.3,293.0,0,,,,2968.0
all,Monk,Brewmaster,Tank,2026-08-19,1078,1078,537,88208,88464,114762,0.38,75.5,294.4,0,,,,3034.0
all,Monk,Brewmaster,Tank,2026-08-20,509,509,272,96144,98646,123024,0.19,84.3,298.2,0,,,,3061.0
all,Monk,Brewmaster,Tank,2026-08-21,768,768,410,100404,100555,128515,0.15,86.6,301.2,0,,,,3115.0
all,Monk,Brewmaster,Tank,2026-08-22,1203,1203,650,94359,96100,125508,0.16,86.6,300.6,3,100.0,0.0,0.0,3088.0
all,Monk,Brewmaster,Tank,2026-08-23,1001,1001,606,95351,96565,129054,0.13,89.5,301.6,180,46.7,27.8,25.6,3049.0
all,Monk,Brewmaster,Tank,2026-08-24,47,47,39,94468,93749,135717,0.13,89.4,300.7,42,66.7,14.3,19.0,3113.0
all,Monk,Mistweaver,Healer,2026-08-18,417,417,206,38346,38524,49507,1.13,43.6,292.4,0,,,,2886.0
all,Monk,Mistweaver,Healer,2026-08-19,1911,1911,988,40052,40503,51640,0.56,64.9,294.0,0,,,,2858.0
all,Monk,Mistweaver,Healer,2026-08-20,824,824,525,42221,43252,55706,0.35,73.7,297.1,0,,,,2933.0
all,Monk,Mistweaver,Healer,2026-08-21,1451,1451,809,44223,44573,57008,0.36,71.6,300.1,1,100.0,0.0,0.0,3014.0
all,Monk,Mistweaver,Healer,2026-08-22,1959,1959,1216,42481,43453,57067,0.31,75.3,299.6,10,60.0,40.0,0.0,3003.0
all,Monk,Mistweaver,Healer,2026-08-23,1611,1611,1040,42528,43331,57997,0.3,75.3,300.2,348,59.2,26.7,14.1,2959.0
all,Monk,Mistweaver,Healer,2026-08-24,79,79,63,43006,43270,60548,0.3,70.9,300.5,67,64.2,16.4,19.4,2947.0
all,Monk,Windwalker,DPS,2026-08-18,468,461,224,147335,146275,185383,1.38,36.1,293.0,0,,,,2908.0
all,Monk,Windwalker,DPS,2026-08-19,1674,1670,905,159193,158706,208324,0.8,53.4,295.5,1,100.0,0.0,0.0,2863.0
all,Monk,Windwalker,DPS,2026-08-20,706,705,465,176098,178444,234762,0.45,68.7,299.7,1,100.0,0.0,0.0,2934.0
all,Monk,Windwalker,DPS,2026-08-21,1167,1166,668,189882,192837,244653,0.49,64.6,303.3,10,50.0,50.0,0.0,2980.0
all,Monk,Windwalker,DPS,2026-08-22,1852,1839,1039,184582,190063,252558,0.49,64.5,302.8,12,66.7,25.0,8.3,3060.0
all,Monk,Windwalker,DPS,2026-08-23,1399,1389,874,189205,193107,256541,0.46,67.8,304.1,339,33.3,24.8,41.9,2923.0
all,Monk,Windwalker,DPS,2026-08-24,76,76,62,176482,183836,261560,0.24,85.5,301.8,65,38.5,24.6,36.9,3004.0
all,Paladin,Holy,Healer,2026-08-18,1094,1094,504,17717,16374,28419,0.94,50.4,291.9,0,,,,2837.0
all,Paladin,Holy,Healer,2026-08-19,4696,4696,2496,19451,17652,31434,0.61,62.1,293.5,5,100.0,0.0,0.0,2933.0
all,Paladin,Holy,Healer,2026-08-20,2548,2548,1519,23391,20604,39858,0.42,68.6,297.1,5,80.0,20.0,0.0,2991.0
all,Paladin,Holy,Healer,2026-08-21,5015,5015,2512,26037,22745,45272,0.45,67.0,301.5,11,81.8,18.2,0.0,3072.0
all,Paladin,Holy,Healer,2026-08-22,7842,7840,4117,27011,22883,49582,0.46,67.2,301.7,23,56.5,17.4,26.1,3059.0
all,Paladin,Holy,Healer,2026-08-23,6644,6640,3604,28385,24220,52354,0.47,66.4,303.5,1057,39.5,41.8,18.7,3060.0
all,Paladin,Holy,Healer,2026-08-24,260,260,224,23329,19500,45741,0.38,71.5,302.8,219,31.5,44.7,23.7,3115.0
all,Paladin,Protection,Tank,2026-08-18,911,911,400,91083,90378,115328,0.55,67.0,292.6,0,,,,2902.0
all,Paladin,Protection,Tank,2026-08-19,3625,3625,1938,90614,90288,118241,0.28,80.7,294.0,2,100.0,0.0,0.0,2934.0
all,Paladin,Protection,Tank,2026-08-20,1658,1658,1023,97022,98330,126527,0.15,87.5,297.5,5,100.0,0.0,0.0,3043.0
all,Paladin,Protection,Tank,2026-08-21,3123,3123,1654,102137,102559,130887,0.12,89.1,301.2,8,75.0,25.0,0.0,3007.0
all,Paladin,Protection,Tank,2026-08-22,4696,4696,2713,96882,97546,129448,0.11,90.6,300.3,26,69.2,26.9,3.8,3015.0
all,Paladin,Protection,Tank,2026-08-23,3518,3518,2201,97624,98546,131252,0.1,91.4,301.6,645,54.0,29.0,17.1,3017.0
all,Paladin,Protection,Tank,2026-08-24,159,159,131,97135,99282,127171,0.09,90.6,302.2,125,45.6,43.2,11.2,3057.0
all,Paladin,Retribution,DPS,2026-08-18,703,678,344,164583,166070,203287,1.17,44.5,293.3,1,100.0,0.0,0.0,2882.0
all,Paladin,Retribution,DPS,2026-08-19,3114,3063,1810,165158,165210,213909,0.67,59.8,294.9,1,100.0,0.0,0.0,2948.0
all,Paladin,Retribution,DPS,2026-08-20,1483,1452,929,178088,181270,234824,0.43,68.8,298.4,4,100.0,0.0,0.0,3030.0
all,Paladin,Retribution,DPS,2026-08-21,2514,2474,1500,190645,194608,243736,0.49,64.1,301.9,9,77.8,22.2,0.0,3069.0
all,Paladin,Retribution,DPS,2026-08-22,4489,4394,2726,184556,190170,247631,0.47,67.3,301.5,11,54.5,27.3,18.2,3049.0
all,Paladin,Retribution,DPS,2026-08-23,3755,3656,2383,189120,195292,255781,0.43,67.9,302.7,727,39.1,30.1,30.8,3030.0
all,Paladin,Retribution,DPS,2026-08-24,150,150,136,184235,196612,248565,0.36,71.3,303.2,139,39.6,30.2,30.2,3062.0
all,Priest,Discipline,Healer,2026-08-18,522,522,230,16977,15981,24326,1.3,41.8,293.1,2,100.0,0.0,0.0,2849.0
all,Priest,Discipline,Healer,2026-08-19,1639,1639,867,18383,16814,28255,0.64,59.8,294.8,3,33.3,66.7,0.0,2811.0
all,Priest,Discipline,Healer,2026-08-20,577,577,389,18579,16846,29203,0.39,70.7,297.1,1,100.0,0.0,0.0,2883.0
all,Priest,Discipline,Healer,2026-08-21,783,783,506,20913,18712,35985,0.38,71.4,300.7,6,100.0,0.0,0.0,2939.0
all,Priest,Discipline,Healer,2026-08-22,1121,1121,769,19039,17236,29257,0.36,73.7,298.4,3,66.7,0.0,33.3,3001.0
all,Priest,Discipline,Healer,2026-08-23,785,785,562,19392,17216,32570,0.28,78.1,299.4,181,54.7,29.3,16.0,2996.0
all,Priest,Discipline,Healer,2026-08-24,28,28,27,17097,15377,25218,0.18,82.1,295.5,27,74.1,22.2,3.7,
all,Priest,Holy,Healer,2026-08-18,334,334,142,21847,21148,33810,0.44,73.4,293.1,0,,,,2906.0
all,Priest,Holy,Healer,2026-08-19,1138,1138,619,23618,23168,36250,0.23,83.8,294.2,0,,,,2856.0
all,Priest,Holy,Healer,2026-08-20,609,609,394,24601,23871,39003,0.15,87.8,297.8,1,100.0,0.0,0.0,3004.0
