subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Mage,Frost,Unknown,DPS,56,56,50,138331,138374,194451,0.46,67.9,294.1,0,,,,2802.0
all,Monk,Brewmaster,Master of Harmony,Tank,3489,3489,1218,98443,98419,128092,0.2,84.6,299.6,171,52.0,20.5,27.5,3093.0
all,Monk,Brewmaster,Shado-Pan,Tank,1229,1229,698,83984,83588,114711,0.36,76.8,296.8,54,48.1,38.9,13.0,2837.0
all,Monk,Brewmaster,Unknown,Tank,171,171,120,91743,94632,118373,0.22,83.0,298.3,0,,,,2896.0
all,Monk,Mistweaver,Conduit of the Celestials,Healer,7735,7735,3200,42572,42988,56329,0.42,70.3,297.9,417,60.4,25.2,14.4,2908.0
all,Monk,Mistweaver,Master of Harmony,Healer,233,233,142,34631,34933,51421,0.24,80.7,296.7,9,44.4,33.3,22.2,3012.0
all,Monk,Mistweaver,Unknown,Healer,284,284,216,41860,42678,56207,0.52,65.5,297.3,0,,,,2911.0
all,Monk,Windwalker,Conduit of the Celestials,DPS,1227,1226,498,201585,207520,271681,0.65,59.2,303.3,69,11.6,1.4,87.0,2996.0
all,Monk,Windwalker,Shado-Pan,DPS,5897,5873,2561,173549,174343,234331,0.6,61.8,299.9,359,40.4,29.8,29.8,2893.0
all,Monk,Windwalker,Unknown,DPS,218,217,156,180459,183472,243043,0.6,63.8,300.5,0,,,,3078.0
all,Paladin,Holy,Herald of the Sun,Healer,19801,19796,7882,19049,18140,29753,0.49,66.0,299.0,1063,42.4,43.4,14.2,2963.0
all,Paladin,Holy,Lightsmith,Healer,7333,7332,2376,42381,41780,61358,0.5,64.9,302.6,257,25.7,33.5,40.9,2935.0
all,Paladin,Holy,Unknown,Healer,965,965,684,26744,22526,49182,0.56,64.1,299.4,0,,,,3015.0
all,Paladin,Protection,Lightsmith,Tank,13491,13491,5208,99905,100143,130173,0.17,86.7,299.4,613,50.6,34.6,14.8,3001.0
all,Paladin,Protection,Templar,Tank,3653,3653,1987,85592,85160,116897,0.16,88.3,296.5,198,63.6,19.2,17.2,2818.0
all,Paladin,Protection,Unknown,Tank,546,546,392,96018,96098,128924,0.19,84.8,298.7,0,,,,3035.0
all,Paladin,Retribution,Herald of the Sun,DPS,6014,5922,2550,204819,208783,260165,0.57,61.7,303.2,424,28.8,34.9,36.3,2974.0
all,Paladin,Retribution,Templar,DPS,9679,9525,4925,169035,170362,227481,0.5,66.6,298.0,468,50.4,25.2,24.4,2982.0
all,Paladin,Retribution,Unknown,DPS,515,504,408,180120,182594,251546,0.52,64.1,299.4,0,,,,2957.0
all,Priest,Discipline,Oracle,Healer,4325,4325,2263,16265,16087,21492,0.51,67.1,296.6,184,63.6,23.4,13.0,2871.0
all,Priest,Discipline,Unknown,Healer,172,172,123,20528,17793,39478,0.52,66.9,297.4,0,,,,2841.0
all,Priest,Discipline,Voidweaver,Healer,958,958,454,31039,30604,43479,0.61,63.5,299.3,39,35.9,46.2,17.9,2805.0
all,Priest,Holy,Archon,Healer,817,817,531,15919,14585,27165,0.17,88.1,294.9,51,84.3,7.8,7.8,2800.0
all,Priest,Holy,Oracle,Healer,6884,6884,2994,24788,24318,38709,0.17,87.5,300.0,395,50.9,31.6,17.5,2914.0
all,Priest,Holy,Unknown,Healer,262,262,194,24637,24004,40884,0.15,87.0,298.8,0,,,,2807.0
all,Priest,Shadow,Archon,DPS,4636,4616,2085,178348,181425,236244,0.56,65.3,298.8,237,38.4,23.6,38.0,2871.0
all,Priest,Shadow,Unknown,DPS,241,238,176,171552,168780,232306,0.51,68.9,297.3,0,,,,2793.0
all,Priest,Shadow,Voidweaver,DPS,3223,3199,1397,180664,183194,239031,0.55,65.7,299.6,164,41.5,15.2,43.3,2926.0
all,Rogue,Assassination,Deathstalker,DPS,6504,6480,2286,210236,214926,272218,0.62,61.5,300.7,347,35.7,23.6,40.6,3104.0
all,Rogue,Assassination,Fatebound,DPS,455,455,233,186293,187962,259260,0.42,71.6,296.9,17,47.1,11.8,41.2,2965.0
all,Rogue,Assassination,Unknown,DPS,225,225,165,206316,209568,272528,0.61,62.7,300.4,0,,,,3098.0
all,Rogue,Outlaw,Fatebound,DPS,15,15,13,119863,95306,189294,0.4,66.7,293.3,1,100.0,0.0,0.0,
all,Rogue,Outlaw,Trickster,DPS,4448,4426,1513,199124,202936,265180,0.58,63.8,298.7,202,45.5,16.8,37.6,3167.0
all,Rogue,Outlaw,Unknown,DPS,140,139,112,196395,202951,267776,0.49,64.3,298.4,0,,,,2987.0
all,Rogue,Subtlety,Deathstalker,DPS,7881,7775,2583,201979,204449,260510,0.46,69.8,301.1,418,29.7,13.4,56.9,2928.0
all,Rogue,Subtlety,Trickster,DPS,1247,1244,579,190726,194320,249267,0.43,71.3,298.1,61,60.7,26.2,13.1,3083.0
all,Rogue,Subtlety,Unknown,DPS,276,274,197,202898,205263,266475,0.46,72.5,299.6,0,,,,2862.0
all,Shaman,Elemental,Farseer,DPS,22902,22565,7980,202530,206622,265122,0.6,62.4,301.0,1099,35.9,27.7,36.4,2966.0
all,Shaman,Elemental,Stormbringer,DPS,208,208,168,115878,111878,166738,0.48,67.8,290.5,19,94.7,0.0,5.3,2792.0
all,Shaman,Elemental,Unknown,DPS,891,873,609,200806,204175,270064,0.69,61.2,300.7,0,,,,2883.0
all,Shaman,Enhancement,Stormbringer,DPS,5430,5409,2078,188977,192247,248498,0.66,59.1,299.5,346,32.1,31.5,36.4,2940.0
all,Shaman,Enhancement,Totemic,DPS,99,99,77,138747,132177,200028,0.37,69.7,292.8,6,83.3,0.0,16.7,2734.0
all,Shaman,Enhancement,Unknown,DPS,162,162,125,171808,175832,230881,0.57,61.1,297.8,0,,,,3151.0
all,Shaman,Restoration,Farseer,Healer,813,813,379,24705,23140,44639,0.45,70.7,296.4,39,56.4,30.8,12.8,3058.0
all,Shaman,Restoration,Totemic,Healer,26529,26529,10009,27142,26793,38675,0.41,71.3,299.0,1301,42.3,36.4,21.3,3012.0
all,Shaman,Restoration,Unknown,Healer,860,860,655,26237,26514,37862,0.48,69.2,298.1,0,,,,2973.0
all,Warlock,Affliction,Hellcaller,DPS,24,24,19,143033,152301,197083,0.25,75.0,292.8,3,66.7,33.3,0.0,
all,Warlock,Affliction,Soul Harvester,DPS,1180,1180,776,164210,157834,238857,0.43,72.2,297.8,75,34.7,28.0,37.3,2819.0
all,Warlock,Affliction,Unknown,DPS,50,50,47,152060,145026,217111,0.54,60.0,296.7,0,,,,2780.0
all,Warlock,Demonology,Diabolist,DPS,8938,8844,4039,195426,199161,258823,0.53,66.1,300.0,534,43.3,20.2,36.5,2844.0
all,Warlock,Demonology,Soul Harvester,DPS,11,11,11,95335,90620,125950,0.27,72.7,291.9,0,,,,
all,Warlock,Demonology,Unknown,DPS,276,272,213,191412,194848,253159,0.49,69.9,299.1,0,,,,2748.0
all,Warlock,Destruction,Diabolist,DPS,2968,2950,1625,172297,173882,236656,0.59,63.4,298.5,142,41.5,21.1,37.3,2860.0
all,Warlock,Destruction,Hellcaller,DPS,493,492,335,151462,151598,217707,0.56,66.1,296.9,23,43.5,30.4,26.1,2875.0
all,Warlock,Destruction,Unknown,DPS,93,92,81,150357,140197,221062,0.48,68.8,294.3,0,,,,2895.0
all,Warrior,Arms,Colossus,DPS,102,102,85,131952,119805,217659,0.55,67.6,290.8,5,60.0,0.0,40.0,3036.0
all,Warrior,Arms,Slayer,DPS,36177,35270,11427,196039,198762,251618,0.77,52.7,301.6,1742,37.5,26.5,36.0,2988.0
all,Warrior,Arms,Unknown,DPS,1314,1271,889,196766,200346,254312,0.81,53.7,301.6,0,,,,2973.0
all,Warrior,Fury,Mountain Thane,DPS,886,884,547,173498,175264,240970,0.57,64.2,298.4,41,65.9,19.5,14.6,2930.0
all,Warrior,Fury,Slayer,DPS,1917,1913,910,193332,198166,257859,0.55,62.3,300.4,143,28.7,39.2,32.2,3094.0
all,Warrior,Fury,Unknown,DPS,96,95,85,177382,185294,238277,0.44,63.5,298.6,0,,,,3086.0
all,Warrior,Protection,Colossus,Tank,285,285,148,111090,109938,153407,0.17,88.8,297.3,14,64.3,7.1,28.6,2915.0
all,Warrior,Protection,Mountain Thane,Tank,6595,6595,2923,111425,112166,148992,0.21,85.3,297.3,308,65.3,16.2,18.5,2901.0
all,Warrior,Protection,Slayer,Tank,1,1,1,97443,97443,97443,0.0,100.0,298.0,0,,,,
all,Warrior,Protection,Unknown,Tank,266,266,178,111402,114036,149189,0.24,83.5,296.7,0,,,,2940.0
