subset,class,spec,role,dungeon,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
timed,Warlock,Demonology,DPS,Altar of Fangs,2409,2376,1832,179021,184613,231331,1.25,36.6,294.5
timed,Warlock,Demonology,DPS,Den of Nalorakk,2195,2165,1833,139297,141017,180178,1.04,41.5,294.0
timed,Warlock,Demonology,DPS,Kings' Rest,2510,2482,2038,121808,123922,154645,1.16,40.2,293.9
timed,Warlock,Demonology,DPS,Murder Row,3105,3057,2198,158877,162717,204227,0.71,56.3,294.8
timed,Warlock,Demonology,DPS,Ruby Life Pools,2427,2396,1986,168829,169654,213742,0.93,49.1,293.9
timed,Warlock,Demonology,DPS,Temple of Sethraliss,2505,2469,2021,163780,166227,213443,0.91,46.6,294.1
timed,Warlock,Demonology,DPS,The Blinding Vale,2304,2279,1872,174323,177338,220133,0.99,46.5,294.1
timed,Warlock,Demonology,DPS,Voidscar Arena,2414,2391,1923,156879,158956,202437,1.6,27.9,294.3
timed,Warlock,Destruction,DPS,Altar of Fangs,1449,1440,1143,159949,162865,211369,1.13,40.1,293.6
timed,Warlock,Destruction,DPS,Den of Nalorakk,1270,1260,1081,119945,121174,159722,1.0,43.9,293.3
timed,Warlock,Destruction,DPS,Kings' Rest,1449,1441,1214,108132,110328,139415,1.05,42.6,293.3
timed,Warlock,Destruction,DPS,Murder Row,1930,1914,1422,137823,139800,182481,0.73,55.7,294.1
timed,Warlock,Destruction,DPS,Ruby Life Pools,1483,1473,1242,149894,151014,193416,0.92,49.6,293.1
timed,Warlock,Destruction,DPS,Temple of Sethraliss,1516,1498,1217,142036,143912,188402,0.94,44.3,293.9
timed,Warlock,Destruction,DPS,The Blinding Vale,1422,1414,1188,153587,155233,201341,0.96,47.7,293.5
timed,Warlock,Destruction,DPS,Voidscar Arena,1467,1458,1203,139076,139255,184732,1.52,27.9,293.6
timed,Warrior,Arms,DPS,Altar of Fangs,7527,7288,5062,179503,182477,231974,1.17,37.0,295.0
timed,Warrior,Arms,DPS,Den of Nalorakk,6324,6115,4809,141820,142949,182536,1.04,41.1,294.2
timed,Warrior,Arms,DPS,Kings' Rest,6499,6302,5007,123284,123979,157915,1.2,37.3,293.6
timed,Warrior,Arms,DPS,Murder Row,7125,6922,5074,149228,150313,193247,1.2,39.3,294.1
timed,Warrior,Arms,DPS,Ruby Life Pools,6538,6351,5062,171573,171503,220493,1.1,43.1,293.6
timed,Warrior,Arms,DPS,Temple of Sethraliss,6234,6058,4800,154436,155969,201302,1.21,36.6,293.9
timed,Warrior,Arms,DPS,The Blinding Vale,6151,5963,4754,172338,173342,221250,1.25,37.4,293.9
timed,Warrior,Arms,DPS,Voidscar Arena,6163,5987,4761,155278,155082,202169,1.45,33.2,294.0
timed,Warrior,Fury,DPS,Altar of Fangs,663,662,537,169652,173536,228385,1.13,39.4,294.5
timed,Warrior,Fury,DPS,Den of Nalorakk,672,670,554,140134,143660,182982,0.82,47.8,294.5
timed,Warrior,Fury,DPS,Kings' Rest,719,713,595,114366,114525,148500,0.94,45.3,294.0
timed,Warrior,Fury,DPS,Murder Row,808,804,648,143465,145250,190004,0.93,50.2,294.4
timed,Warrior,Fury,DPS,Ruby Life Pools,762,762,626,164813,167688,212262,0.91,47.4,294.1
timed,Warrior,Fury,DPS,Temple of Sethraliss,711,708,582,155326,159060,203509,0.89,45.6,294.3
timed,Warrior,Fury,DPS,The Blinding Vale,697,696,585,173148,175727,223396,1.12,43.6,294.4
timed,Warrior,Fury,DPS,Voidscar Arena,733,729,612,149620,151950,194817,1.3,35.6,294.1
timed,Warrior,Protection,Tank,Altar of Fangs,1975,1975,1407,110704,110773,146310,0.56,61.2,293.6
timed,Warrior,Protection,Tank,Den of Nalorakk,1806,1806,1448,84266,84280,110545,0.4,70.9,292.8
timed,Warrior,Protection,Tank,Kings' Rest,1841,1841,1434,75206,75428,96470,0.55,61.3,292.8
timed,Warrior,Protection,Tank,Murder Row,2161,2161,1560,93764,93684,123374,0.7,58.0,293.2
timed,Warrior,Protection,Tank,Ruby Life Pools,1750,1750,1417,101703,101544,131285,0.85,54.7,292.7
timed,Warrior,Protection,Tank,Temple of Sethraliss,1851,1851,1445,98524,99220,129787,0.46,66.7,293.0
timed,Warrior,Protection,Tank,The Blinding Vale,1808,1808,1403,106176,105944,137731,0.43,71.4,293.2
timed,Warrior,Protection,Tank,Voidscar Arena,1800,1800,1402,95829,95623,125368,0.62,60.8,293.1
