subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,Rogue,Assassination,Unknown,DPS,8,8,6,258081,262850,337533,2.5,25.0,328.0
all,Rogue,Outlaw,Fatebound,DPS,11,11,5,180659,199392,261622,2.18,0.0,325.3
all,Rogue,Outlaw,Trickster,DPS,269,265,68,255221,252887,354049,2.18,23.8,331.2
all,Rogue,Outlaw,Unknown,DPS,14,14,7,234370,232345,295151,1.64,28.6,332.1
all,Rogue,Subtlety,Deathstalker,DPS,27,27,15,209674,216371,275823,2.93,11.1,328.3
all,Rogue,Subtlety,Trickster,DPS,56,56,30,192725,205870,245755,2.95,17.9,324.9
all,Rogue,Subtlety,Unknown,DPS,2,2,2,131682,131682,144549,3.0,0.0,328.0
all,Shaman,Elemental,Farseer,DPS,1010,1008,342,271769,268705,363769,2.39,20.0,330.9
all,Shaman,Elemental,Stormbringer,DPS,42,42,27,160509,161182,192130,3.05,7.1,320.8
all,Shaman,Elemental,Unknown,DPS,66,66,38,280673,280514,354522,1.71,30.3,331.8
all,Shaman,Enhancement,Stormbringer,DPS,460,460,144,231919,227432,310772,2.62,21.3,328.1
all,Shaman,Enhancement,Totemic,DPS,19,19,10,217664,217310,316767,4.58,5.3,329.7
all,Shaman,Enhancement,Unknown,DPS,37,37,15,241870,241375,302915,2.27,8.1,327.9
all,Shaman,Restoration,Farseer,Healer,98,98,37,37393,36862,54441,2.51,24.5,331.6
all,Shaman,Restoration,Totemic,Healer,876,876,293,37378,37882,54968,1.66,31.6,329.0
all,Shaman,Restoration,Unknown,Healer,69,69,37,40345,39486,61186,1.28,36.2,332.9
all,Warlock,Affliction,Hellcaller,DPS,9,9,7,255278,272027,280898,2.56,11.1,331.2
all,Warlock,Affliction,Soul Harvester,DPS,542,538,190,250689,248230,338870,2.34,22.9,327.4
all,Warlock,Affliction,Unknown,DPS,24,24,20,242136,254210,331202,2.62,8.3,326.9
all,Warlock,Demonology,Diabolist,DPS,223,222,88,232121,234114,310102,2.53,22.0,327.9
all,Warlock,Demonology,Soul Harvester,DPS,4,4,2,226044,225345,250303,2.75,25.0,334.0
all,Warlock,Demonology,Unknown,DPS,8,8,7,205632,205252,287028,4.25,37.5,326.9
all,Warlock,Destruction,Diabolist,DPS,164,164,88,248776,238627,340937,2.15,18.3,332.0
all,Warlock,Destruction,Hellcaller,DPS,25,25,12,242029,226444,314846,2.32,24.0,330.4
all,Warlock,Destruction,Unknown,DPS,6,6,4,314199,323696,346588,1.5,33.3,334.0
all,Warrior,Arms,Colossus,DPS,559,557,189,263313,253264,372529,1.98,26.7,330.2
all,Warrior,Arms,Slayer,DPS,848,830,314,276451,278185,364287,2.52,17.3,332.2
all,Warrior,Arms,Unknown,DPS,107,106,65,297649,290569,395575,2.06,17.8,332.9
all,Warrior,Fury,Mountain Thane,DPS,72,71,40,208978,208267,252737,2.64,22.2,327.8
all,Warrior,Fury,Slayer,DPS,73,73,36,198725,198753,254448,3.11,4.1,326.1
all,Warrior,Fury,Unknown,DPS,13,13,8,251878,245102,314341,2.0,15.4,340.2
all,Warrior,Protection,Colossus,Tank,61,61,24,140888,137565,189118,1.1,49.2,330.0
all,Warrior,Protection,Mountain Thane,Tank,254,254,89,130993,123312,185947,1.09,53.5,328.5
all,Warrior,Protection,Unknown,Tank,45,45,17,132160,120738,181431,0.51,62.2,329.0
timed,DeathKnight,Blood,Deathbringer,Tank,250,250,109,145522,140988,202282,0.17,85.2,330.3
timed,DeathKnight,Blood,San'layn,Tank,412,412,176,180408,176088,244222,0.29,76.2,331.2
timed,DeathKnight,Blood,Unknown,Tank,48,48,27,186533,182522,247381,0.17,83.3,331.2
timed,DeathKnight,Frost,Deathbringer,DPS,252,251,124,261294,256413,355014,0.76,48.0,330.8
